SMSA70,,STATE,COUNTY,,,,msaLABEL
2800,,48,439,,,,Tarrant County
,,,,,,,
2840,,,,,,,"Fresno, CA SMSA"
2840,,6,19,,,,Fresno County
,,,,,,,
2880,,,,,,,"Gadsden, AL SMSA"
2880,,1,55,,,,Etowah County
,,,,,,,
2900,,,,,,,"Gainesville, FL SMSA"
2900,,12,1,,,,Alachua County
,,,,,,,
2920,,,,,,,"Galveston-Texas City, TX SMSA"
2920,,48,167,,,,Galveston County
,,,,,,,
2960,,,,,,,"Gary-Hammond-East Chicago, IN SMSA"
2960,,18,89,,,,Lake County
2960,,18,127,,,,Porter County
,,,,,,,
3000,,,,,,,"Grand Rapids, MI SMSA"
3000,,26,81,,,,Kent County
3000,,26,139,,,,Ottawa County
,,,,,,,
3040,,,,,,,"Great Falls, MT SMSA"
3040,,30,13,,,,Cascade County
,,,,,,,
3080,,,,,,,"Green Bay, WI SMSA"
3080,,55,9,,,,Brown County
,,,,,,,
3120,,,,,,,"Greensboro--Winston-Salem--High Point, NC SMSA"
3120,,37,67,,,,Forsyth County
3120,,37,81,,,,Guilford County
3120,,37,151,,,,Randolph County
3120,,37,197,,,,Yadkin County
,,,,,,,
3160,,,,,,,"Greenville, SC SMSA"
3160,,45,45,,,,Greenville County
3160,,45,77,,,,Pickens County
,,,,,,,
3200,,,,,,,"Hamilton-Middletown, OH SMSA"
3200,,39,17,,,,Butler County
,,,,,,,
3240,,,,,,,"Harrisburg, PA SMSA"
3240,,42,41,,,,Cumberland County
3240,,42,43,,,,Dauphin County
3240,,42,99,,,,Perry County
,,,,,,,
3280,,,,,,,"Hartford, CT SMSA"
3280,,9,3,,,,Hartford County (pt.)
3280,,9,3,,2060,,Avon town
3280,,9,3,,5910,,Bloomfield town
3280,,9,3,,12270,,Canton town
3280,,9,3,,22070,,East Granby town
3280,,9,3,,22630,,East Hartford town
3280,,9,3,,24800,,East Windsor town
3280,,9,3,,25990,,Enfield town
3280,,9,3,,27600,,Farmington town
3280,,9,3,,31240,,Glastonbury town
3280,,9,3,,32640,,Granby town
3280,,9,3,,37000,,Hartford city
3280,,9,3,,44700,,Manchester town
3280,,9,3,,52140,,Newington town
3280,,9,3,,65370,,Rocky Hill town
3280,,9,3,,68940,,Simsbury town
